"","logFC","logCPM","LR","PValue","FDR"
"PITA_35366",-8.06362195768707,2.39703412568413,65.176546106293,6.84797209703695e-16,5.33305507828256e-12
"PITA_30776",-10.5293502606602,3.00601006827032,64.7947293929801,8.31211826415611e-16,5.33305507828256e-12
"PITA_51743",-5.87298210571313,3.51226662790274,51.5223374743041,7.07870943295874e-13,3.02779998145755e-09
"PITA_30727",-8.47079040615653,1.02362036126474,40.3669157408657,2.10475198399884e-10,6.75204436466827e-07
"PITA_11940",-7.14052964043718,2.30506512629748,38.5122166421723,5.44120179711002e-10,1.55158892134479e-06
"PITA_29519",-3.97742430627966,1.7867008969095,31.1573407306827,2.37937870811377e-08,5.08869793041932e-05
"PITA_18936",-4.32883774996242,3.82140607016977,30.2277784616427,3.84167601789898e-08,7.04234095166854e-05
"PITA_14169",-7.61138725968799,0.255034084363573,29.5968631288216,5.31909500547758e-08,9.10061694803843e-05
"PITA_41069",-3.70005777630675,3.331779125714,28.1220057618189,1.13903340892261e-07,0.000182700958791187
"PITA_47365",-3.81285473607325,2.65290053004931,27.998363467445,1.21418090919893e-07,0.000183298463845184
"PITA_45894",-1.99065730579138,6.50795966193007,26.5280891547865,2.59733915382921e-07,0.000370322844688183
"PITA_46887",-4.07356368805283,4.20160065438103,26.0355251387507,3.35192467586694e-07,0.000452756815165521
"PITA_43376",-5.15855894983707,3.41746837684963,25.5383922562698,4.33667175035078e-07,0.000529982589528583
"PITA_01094",-7.02097294118474,-0.24314975718196,24.8919345111064,6.06355792753594e-07,0.000648396461051176
"PITA_17289",-3.0118915932302,5.02461231699862,23.8674102580633,1.03204227361289e-06,0.00104521393661387
"PITA_13753",-5.45344492615829,3.65686763732094,22.8201741530042,1.77888566620024e-06,0.00167560975520019
"PITA_31397",-2.99632136644193,3.56873067335806,22.7676978068734,1.8281278501249e-06,0.00167560975520019
"PITA_06378",-3.33144404154192,3.10812017873194,22.5612361108482,2.03550518781942e-06,0.00180135190138613
"PITA_11445",-2.8762402098439,3.9471223166148,22.2231147806794,2.4273388276599e-06,0.00200952334429238
"PITA_24394",-2.472773393762,4.33558284805366,21.7539579998729,3.09949757253533e-06,0.0024578781508533
"PITA_36783",-3.86679298463767,0.719569918669448,21.7165930430108,3.16045741030856e-06,0.0024578781508533
"PITA_43561",-2.72856151863667,3.00053605707303,20.8914233465712,4.86066064263121e-06,0.00346511096479132
"PITA_13629",-3.56766711718936,6.10011745872755,19.7768447583928,8.70306618716782e-06,0.00544769489335305
"PITA_37469",-3.20452209857173,7.18581919793967,18.9791790215455,1.32152683088485e-05,0.00807515823519732
"PITA_31215",-2.00118543602822,3.78095423096542,18.8828034594347,1.39000065853374e-05,0.00810749475013859
"PITA_08856",-3.19522697371396,1.46222243409118,18.1736761132369,2.01646816803674e-05,0.0110107742690414
"PITA_23224",-4.09207875224261,0.90762567516279,18.0417418923166,2.16114029947886e-05,0.0115548968012136
"PITA_01832",-6.04028878086398,6.75446828833132,17.7557715924064,2.51154393913769e-05,0.0129575920703896
"PITA_30904",-4.36691457948749,0.891479386631449,17.6730544341054,2.62316370858261e-05,0.0129575920703896
"PITA_01019",-2.37955384268932,4.24008513913624,17.6048049996802,2.71900480002718e-05,0.0130871424406301
"PITA_36013",-1.46125880132244,5.10333102099583,17.5458115504364,2.80467906107644e-05,0.0130871424406301
"PITA_12572",-6.0069975269019,4.7661145705618,17.3416611563113,3.12265430659392e-05,0.0140596140569169
"PITA_38955",-1.37517292737607,5.67482785974781,17.1807353787827,3.39865522965163e-05,0.0150384634161689
