"","logFC","logCPM","LR","PValue","FDR"
"PITA_40477",12.0545605886028,4.51342879321766,198.283895390794,4.94688958488193e-45,1.2695697430641e-40
"PITA_11777",10.0767554781055,2.56871546554872,88.3523868268991,5.47734753916815e-21,7.02853236226058e-17
"PITA_41141",9.2869999076332,1.80849741217262,59.4675780372567,1.24325611253542e-14,6.38138497442179e-11
"PITA_32480",8.29192084649701,0.888272956291479,43.2150763510662,4.90413401920743e-11,1.79799564955628e-07
"PITA_22786",7.82816897515504,0.463955768349758,34.4874793098499,4.29002056194644e-09,1.10099087701793e-05
"PITA_13121",7.94010108866942,0.586280478927075,33.7850425472168,6.15502811224428e-09,1.43602401338761e-05
"PITA_24873",3.05356404644533,3.93571917805045,30.995291527143,2.58655149089664e-08,5.10625057402857e-05
"PITA_23405",1.94669207038292,5.17139440220344,25.549023127679,4.31284351573407e-07,0.000529982589528583
"PITA_43024",7.10188350895211,-0.141351827409534,25.0293753191833,5.64634943347364e-07,0.000648396461051176
"PITA_15650",7.18694916396551,-0.0830098853584403,24.9495752871577,5.88494930188681e-07,0.000648396461051176
"PITA_00960",3.06391474473941,5.64438398362679,23.8179600368801,1.05889815897602e-06,0.00104521393661387
"PITA_36186",2.55142165989412,3.09606089418011,22.3122342731056,2.31725573407774e-06,0.0019823350386457
"PITA_07500",3.00440642094612,1.84856585824496,21.4138877234442,3.70080854768696e-06,0.0027934573696423
"PITA_28406",5.162746390953,0.537701328468364,21.1162635199849,4.32244050734171e-06,0.00316946037658336
"PITA_23186",2.81199504040627,5.51805216669539,20.4442737595633,6.13929665838073e-06,0.00425834890380224
"PITA_34569",2.36188653383666,5.93425156364841,20.2775036791477,6.69835626019355e-06,0.00452385829109493
"PITA_15382",2.06713196909481,6.71340789225582,19.908060811515,8.12569937754139e-06,0.00534712689295442
"PITA_51260",2.21703765120549,4.42886242785085,19.8051949770416,8.57493021668052e-06,0.00544769489335305
"PITA_33903",2.31964318124411,8.51578525952093,18.8904229061184,1.3844597522268e-05,0.00810749475013859
"PITA_08348",2.4065426872967,6.11867900362821,18.5194613173174,1.68178273925631e-05,0.00950480203237879
"PITA_50189",3.65439657168753,1.48756303274055,18.4948558230956,1.703635027624e-05,0.00950480203237879
"PITA_37590",1.94337326944581,4.14443903014548,17.6768205838888,2.61797493322694e-05,0.0129575920703896
"PITA_50562",1.61243314435334,6.49957404617303,17.6713993358581,2.62544727112009e-05,0.0129575920703896
"PITA_08264",1.77785720049751,8.57705762130768,17.546728393278,2.80332702446589e-05,0.0130871424406301
"PITA_34222",4.35642611290877,1.70262423184027,17.3724499657338,3.07247403199393e-05,0.0140596140569169
"PITA_08739",3.64076506796207,1.44968489729931,16.3394451303558,5.29502409611942e-05,0.0209063843696629
"PITA_34045",1.82192343900627,4.7878225788091,16.0277526162566,6.24207601570716e-05,0.0232479418197732
"PITA_50862",2.34281733954041,2.75282212989773,16.0252231430252,6.25042076669402e-05,0.0232479418197732
"PITA_25373",2.1875705491512,3.22901288528678,15.641949506282,7.65377071159419e-05,0.0258455752029412
"PITA_43694",2.36316912121265,2.35999775155808,15.4879764709081,8.30317369057732e-05,0.0276743700772697
"PITA_43768",1.37101386210208,7.5623719159504,14.8492753315034,0.000116452803493605,0.0355791041530938
"PITA_44061",3.10829766415857,2.21081935624623,14.7694616371914,0.000121487100186021,0.0361043241197242
"PITA_39029",3.13898016957691,1.52767848477795,14.733112712435,0.000123851888305243,0.036119714334838
"PITA_11906",1.745498589777,4.01238773930822,14.6097596577036,0.000132227970832817,0.037020443012276
"PITA_05853",1.31729215669044,5.62336820067919,14.5982255910526,0.000133039755244516,0.037020443012276
"PITA_19766",2.31015346307873,2.4491935896652,14.499106735453,0.00014022602015521,0.0378816903290876
"PITA_10311",1.97262844092256,4.20406134899301,14.3150596847097,0.000154622928524181,0.041335862892131
"PITA_09126",2.50427167868057,1.54974459715841,14.1882635047592,0.000165398951293729,0.0437608111958996
"PITA_09664",1.82338919098162,3.01719483227732,14.091913938673,0.000174090578178982,0.044220375765083
"PITA_28644",1.90678529297784,4.04917010743893,14.0093745595311,0.000181901462165925,0.0448876838944836
"PITA_48756",2.81938006908179,1.71415289838095,13.8771284718968,0.000195159032989516,0.0468167812071229
"PITA_47065",3.27599797657275,2.79181698625545,13.8471333793745,0.000198299010302875,0.0468167812071229
"PITA_20008",1.86449770216313,3.26478723636595,13.8280959385052,0.000200318260224469,0.0468167812071229
"PITA_35858",1.87535660370843,3.25278310082095,13.760292610338,0.000207679751837712,0.0480170554158832
"PITA_37774",2.9145362063479,1.05434282001067,13.6869406078729,0.000215950990355741,0.0490457187299976
"PITA_07995",2.06902726303473,4.2159758433851,13.5996378445041,0.000226229164935359,0.0505603916962764
"PITA_08051",1.71447329690399,6.17152335923818,13.5939173924302,0.000226919595241855,0.0505603916962764
"PITA_37523",3.4125231747999,0.177252020612438,13.4708293706624,0.000242301181251677,0.0516682292288753
"PITA_25828",1.90377964367003,3.29904542203769,13.4453258246586,0.000245617361515071,0.0516682292288753
"PITA_00807",1.64712575813317,3.63793750915347,13.1737254790319,0.000283901754770951,0.0564810436778426
"PITA_22824",3.67005088776705,0.915336100629117,12.9132838591186,0.000326258396174802,0.0619997020137698
"PITA_16936",2.86689290863044,5.60659743942452,12.9069505025558,0.000327364211996727,0.0619997020137698
"PITA_40983",3.72198302671956,0.113756556121203,12.8864599583258,0.000330967860656424,0.0619997020137698
"PITA_08185",1.41064855209719,6.60544921067116,12.6496793453575,0.000375630098442248,0.0683700060029919
"PITA_08649",2.53576079538371,2.30408301517559,12.5157015068796,0.000403546241387487,0.0714249016480584
"PITA_06409",1.58730607273892,3.76689398665701,12.3700698691278,0.000436271280028809,0.0761664362629889
"PITA_23375",2.14769794903871,2.51863439057594,12.0221196952775,0.000525728786499661,0.0864442549073222
"PITA_15915",1.38350242362527,5.02645635137998,12.0174288015392,0.000527053606295059,0.0864442549073222
"PITA_46071",1.59817610287926,4.99521288303938,12.0111775557431,0.000528824346183354,0.0864442549073222
"PITA_43623",1.80608299083416,4.10151884608193,11.8902512110365,0.000564285104118273,0.0902674586225125
"PITA_31577",4.17311630052019,2.14020611792977,11.8735349337319,0.000569372411965122,0.0902674586225125
"PITA_37153",2.51734560400935,4.20698279589431,11.8451727254388,0.000578110128703467,0.0905254243448749
"PITA_07794",2.48422145794192,1.11689546530226,11.8439743250376,0.000578482293974418,0.0905254243448749
"PITA_51645",0.994757071989136,7.0864105119131,11.6892911078737,0.000628608439793524,0.0954592130110119
"PITA_21729",2.85394144166883,2.00604041661412,11.4861232791136,0.000701177369474796,0.102828662915435
"PITA_34956",1.10255081890231,6.84826833652888,11.461806794701,0.000710411955743605,0.1034767541195
"PITA_07026",1.15541547534214,5.78588897532061,11.3458091093615,0.000756184173700368,0.106047599092056
"PITA_42334",2.08091597047583,2.31304571025417,11.2611281215848,0.000791470953954791,0.108607020601419
"PITA_40629",1.61447844770425,3.63795683549625,11.2271813885932,0.000806079726439246,0.108607020601419
"PITA_33482",3.44226419799867,2.7558089337372,11.0852568734926,0.000870167681379291,0.114291591911284
"PITA_26859",2.16424350274446,2.99486663887388,11.0607255287077,0.000881756328463299,0.114587963735319
"PITA_24047",3.00378681412264,0.911379038324426,11.0359314768255,0.000893627636751536,0.114643878152053
"PITA_49093",3.01431537161301,0.0834350368210241,11.0271127612242,0.000897888852422177,0.114643878152053
"PITA_43630",2.14797118853329,2.0063347704709,10.9132529876667,0.000954787154185516,0.117942634862255
"PITA_27108",3.49859806923928,2.58063398148832,10.8989749394208,0.000962174908651646,0.118149554333186
"PITA_21072",1.51767166952802,4.15244770266985,10.7170862730973,0.00106150700185658,0.12800388056126
"PITA_44261",1.73576010544999,2.95133091651181,10.7059613100483,0.00106790885719087,0.12800388056126
"PITA_12877",2.50469545798042,0.616563262823179,10.6423473261316,0.0011052729963882,0.130717632162704
"PITA_32201",2.65121305525374,1.45216771573462,10.5848802184048,0.00114016283590667,0.133005177366858
"PITA_09657",1.98623857654365,3.06969798280215,10.4665935991558,0.00121552645346914,0.138645648452587
"PITA_35695",3.06685959666146,2.05726316283068,10.3698141864984,0.00128092439322786,0.14418264749035
"PITA_21668",2.20803104704376,2.62366587892621,10.333841059804,0.00130613109825618,0.145110599591544
"PITA_13556",1.33257702713504,5.23942577161964,10.231990438607,0.00138025635522359,0.150097030086687
"PITA_30772",2.307084097236,1.22385763615132,10.2093152642136,0.00139733044904412,0.151312610313368
"PITA_00720",2.22412073924355,1.13558491161453,10.0454690502696,0.00152723111323924,0.157181374534967
"PITA_32457",1.5504665031913,3.48595631624582,9.94683116208909,0.0016112651396412,0.161529330249031
"PITA_36944",1.13874542154712,4.92942427403985,9.88614050765838,0.00166528282631834,0.163801003209175
"PITA_15431",1.7029351511806,4.14990071737607,9.80255499690579,0.0017426957812208,0.168427210018156
"PITA_34126",2.63321939559692,1.99702868016352,9.74226748144121,0.00180078623523854,0.171168066448747
"PITA_47934",1.95845519246571,1.87066085465633,9.71593082624205,0.00182677533362343,0.172193495050886
"PITA_07633",0.959096778441604,5.97483223372948,9.70881729662678,0.00183385996996114,0.172193495050886
