"","Sl1","Sl2","Sl3","Ctr1","Ctr2","Ctr3"
"PITA_47725",4.12848522931458,0.384074954783087,3.66359013637078,3.46536320707171,2.48117859074693,1.17465052990501
"PITA_25270",6.04735864575657,5.56908684435477,8.14131141415728,2.37103798378591,3.67214431430546,5.28592738457257
"PITA_17270",89.7218691384846,119.44731093754,69.0993806276599,89.3698932350073,82.9706120745773,123.8417272957
"PITA_23713",2.90738396430605,1.44028108043658,0.814131141415728,1.00313145467865,0.893224292668895,1.17465052990501
"PITA_47587",53.9028986982341,102.64403166578,83.957273958497,67.1186136948626,85.1540492344346,75.1776339139209
"PITA_16870",4.82625738074803,4.12880576391819,3.76535652904774,4.83326973617897,4.46612146334447,4.95031294745685
"PITA_19520",87.047075891323,69.9016417705219,104.412318886567,88.0931804745072,91.4066192831169,87.1758500408079
"PITA_18417",11.9202742536548,7.29742414087866,6.92011470203369,5.56281988503617,7.74127720313042,9.48110784851905
"PITA_43720",14.0717383872413,11.7142861208842,18.3179506818539,17.3268160353586,15.4825544062608,8.05474649077724
"PITA_00138",128.506371222327,131.737709490599,120.796708107559,120.284580792831,135.273856767523,165.541821107328
"PITA_48970",7.03586919362063,7.58548035696597,9.36250812628087,8.02505163742923,9.62697293209809,8.2225537093351
"PITA_21538",35.0630506095309,36.7751769204806,45.6931103119577,37.6630264347531,40.9890703191393,35.2395158971504
"PITA_33509",20.4098354294284,2.11241225130698,44.1666144218032,26.1726115902521,48.7303475222697,8.13865010005617
"PITA_35783",5.291438815037,4.32084324130973,6.00421716794099,4.46849466175037,5.657087186903,4.44689129178327
"PITA_10551",2.20961181287259,4.32084324130973,2.95122538763201,11.0344460014652,17.0705087043389,8.89378258356654
"PITA_39845",7.03586919362063,15.8430918848023,6.10598356061796,7.20430771996488,13.7953529645529,19.8012517898274
"PITA_34901",4.82625738074803,3.55269333174356,4.17242209975561,3.28297566985741,6.05407576142251,2.43320466908896
